CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
787774739,62,BROOKLYN,1/1/2017,13:00:00,6/25/2018,13:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,,PATROL BORO BKLYN SOUTH,349,"LARCENY,PETIT OF LICENSE PLATE",STREET,6/25/2018,,UNKNOWN,UNKNOWN,U,,25-44,WHITE,M,982411,162413,40.61247057,-74.00662501,"(40.61247057, -74.006625011)"
642770671,46,BRONX,1/1/2017,0:00:00,5/31/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,351,MISDEMEANOR,FRONT OF,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",RESTAURANT/DINER,6/25/2018,,,,,,UNKNOWN,UNKNOWN,D,1009891,249195,40.85062872,-73.90731898,"(40.85062872, -73.907318975)"
817558514,113,QUEENS,1/1/2017,0:01:00,11/22/2017,23:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO QUEENS SOUTH,175,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,6/20/2018,,UNKNOWN,UNKNOWN,U,,<18,BLACK,F,1046367,186986,40.67970041,-73.77604737,"(40.679700408, -73.776047368)"
514189520,102,QUEENS,1/1/2017,10:00:00,4/19/2018,10:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO QUEENS SOUTH,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",RESIDENCE-HOUSE,6/1/2018,,UNKNOWN,UNKNOWN,U,,45-64,WHITE HISPANIC,M,1022079,191689,40.69274617,-73.86358773,"(40.692746167, -73.863587732)"
939001840,1,MANHATTAN,1/1/2017,4:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO MAN SOUTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,5/31/2018,,25-44,WHITE,M,,25-44,ASIAN/PAC.ISL,F,982285,201682,40.72025522,-74.00709028,"(40.720255223, -74.00709028)"
445380651,67,BROOKLYN,1/1/2017,0:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,,PATROL BORO BKLYN SOUTH,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE-HOUSE,5/22/2018,,,,,,25-44,BLACK,M,998965,175755,40.64907952,-73.94697299,"(40.649079515, -73.94697299)"
195266865,19,MANHATTAN,1/1/2017,7:00:00,1/1/2017,23:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,351,MISDEMEANOR,INSIDE,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO MAN NORTH,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE - APT. HOUSE,5/4/2018,,UNKNOWN,BLACK,M,,25-44,BLACK,F,994168,218448,40.76626837,-73.96419706,"(40.766268372, -73.964197061)"
439486308,103,QUEENS,1/1/2017,0:01:00,6/10/2017,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO QUEENS SOUTH,177,SEXUAL ABUSE,RESIDENCE-HOUSE,4/23/2018,,45-64,ASIAN/PAC.ISL,M,,<18,ASIAN/PAC.ISL,F,1041749,196938,40.70704748,-73.7926119,"(40.707047475, -73.792611904)"
657068189,109,QUEENS,1/1/2017,0:00:00,2/6/2018,0:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO QUEENS NORTH,407,"LARCENY,GRAND BY DISHONEST EMP",RESTAURANT/DINER,4/17/2018,,25-44,ASIAN/PAC.ISL,M,,UNKNOWN,UNKNOWN,D,1037747,217443,40.76335362,-73.80688337,"(40.763353616, -73.806883374)"
329003862,34,MANHATTAN,1/1/2017,9:00:00,4/15/2018,11:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO MAN NORTH,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",STREET,4/15/2018,,,,,,UNKNOWN,UNKNOWN,E,1001944,250753,40.85492447,-73.93604024,"(40.854924467, -73.936040238)"
110546453,34,MANHATTAN,1/1/2017,9:00:00,4/15/2018,11:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,351,MISDEMEANOR,REAR OF,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO MAN NORTH,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",RESIDENCE - APT. HOUSE,4/15/2018,,,,,,UNKNOWN,UNKNOWN,D,1001864,251195,40.85613779,-73.93632827,"(40.856137785, -73.936328266)"
